iter	Passed	Remaining
907	1205	122
908	1207	120
909	1208	119
910	1209	118
911	1210	116
912	1211	115
913	1212	114
914	1213	112
915	1214	111
916	1215	110
917	1216	108
918	1217	107
919	1218	105
920	1219	104
921	1221	103
922	1222	101
923	1223	100
924	1224	99
925	1225	97
926	1226	96
927	1227	95
928	1228	93
929	1229	92
930	1230	91
931	1231	89
932	1232	88
933	1233	87
934	1234	85
935	1235	84
936	1237	83
937	1238	81
938	1239	80
939	1240	79
940	1241	77
941	1242	76
942	1243	75
943	1244	73
944	1245	72
945	1246	71
946	1247	69
947	1248	68
948	1249	67
949	1251	65
950	1252	64
951	1253	63
952	1254	61
953	1255	60
954	1256	59
955	1257	57
956	1258	56
957	1260	55
958	1261	53
959	1262	52
960	1263	51
961	1264	49
962	1264	48
963	1266	47
964	1267	45
965	1268	44
966	1269	43
967	1270	42
968	1271	40
969	1272	39
970	1273	38
971	1274	36
972	1275	35
973	1276	34
974	1277	32
975	1278	31
976	1279	30
977	1281	28
978	1282	27
979	1283	26
980	1284	24
981	1285	23
982	1287	22
983	1288	20
984	1289	19
985	1290	18
986	1291	17
987	1292	15
988	1293	14
989	1294	13
990	1296	11
991	1298	10
992	1299	9
993	1300	7
994	1301	6
995	1302	5
996	1303	3
997	1304	2
998	1305	1
999	1306	0
